iter	RMSE
0	12371.41236
1	11610.39653
2	10961.92692
3	10390.96376
4	9897.133145
5	9442.564381
6	9056.462437
7	8714.987552
8	8423.017165
9	8136.561697
10	7894.996825
11	7674.716789
12	7488.648833
13	7324.214849
14	7171.882236
15	7035.425041
16	6910.687527
17	6804.432638
18	6707.573548
19	6597.131233
20	6505.664865
21	6431.007366
22	6363.497701
23	6302.205888
24	6250.09135
25	6200.545536
26	6151.388797
27	6098.941313
28	6046.91122
29	5986.300348
30	5940.488511
31	5908.157845
32	5854.101442
33	5818.689274
34	5787.41406
35	5754.880475
36	5715.083187
37	5691.690398
38	5654.086656
39	5623.741873
40	5577.552564
41	5553.104403
42	5531.504739
43	5512.803717
44	5492.273573
45	5463.98075
46	5443.018619
47	5408.938447
48	5388.642552
49	5364.138728
50	5340.343372
51	5317.776934
52	5305.494433
53	5272.933825
54	5256.898758
55	5238.095399
56	5215.82784
57	5199.427622
58	5176.836696
59	5159.532277
60	5140.322095
61	5121.0007
62	5102.430619
63	5072.235453
64	5043.622205
65	5030.148329
66	5014.384792
67	4976.543082
68	4960.769177
69	4945.884039
70	4929.357538
71	4915.045015
72	4896.975858
73	4881.703395
74	4865.681721
75	4855.516127
76	4839.006216
77	4813.172347
78	4800.486634
79	4779.231133
80	4767.814861
81	4752.887768
82	4723.083436
83	4704.567532
84	4693.874406
85	4677.655901
86	4665.095803
87	4652.158499
88	4638.426078
89	4622.443382
90	4601.884654
91	4593.571622
92	4583.780408
93	4569.636662
94	4558.865581
95	4547.9429
96	4530.485413
97	4516.168645
98	4505.195173
99	4481.05351
100	4460.788568
101	4451.511494
102	4438.812107
103	4426.607832
104	4413.893824
105	4394.863951
106	4377.626016
107	4360.326088
108	4348.48508
109	4334.620262
110	4310.42194
111	4301.637225
112	4293.352215
113	4283.698338
114	4275.220329
115	4265.035237
116	4253.236587
117	4236.151163
118	4219.086832
119	4203.399138
120	4186.899804
121	4177.610719
122	4159.145973
123	4146.405948
124	4131.776111
125	4114.388872
126	4101.258908
127	4092.167144
128	4081.712649
129	4066.050166
130	4047.438291
131	4037.451329
132	4026.603197
133	4015.041119
134	4008.377361
135	3999.27964
136	3990.311399
137	3978.66091
138	3967.309076
139	3959.312413
140	3952.641851
141	3945.643448
142	3933.632117
143	3923.122523
144	3908.121078
145	3893.874613
146	3886.782646
147	3880.128953
148	3870.461731
149	3863.431674
150	3849.702801
151	3841.003713
152	3831.907885
153	3820.865984
154	3809.419051
155	3803.284094
156	3796.092221
157	3784.543785
158	3769.101065
159	3762.183545
160	3754.855306
161	3749.193015
162	3738.335652
163	3730.038461
164	3721.493327
165	3714.386109
166	3708.184573
167	3700.614811
168	3693.279528
169	3687.446237
170	3680.31373
171	3672.785652
172	3664.998162
173	3658.349131
174	3651.943015
175	3640.937307
176	3632.435041
177	3626.278411
178	3620.701211
179	3612.763286
180	3602.162464
181	3595.120474
182	3588.690096
183	3583.291633
184	3572.678304
185	3560.93103
186	3550.887402
187	3544.517676
188	3538.121458
189	3532.838488
190	3525.896595
191	3520.114462
192	3512.2374
193	3503.575914
194	3496.857303
195	3489.279485
196	3483.029665
197	3476.279314
198	3471.269198
199	3462.147289
200	3456.789215
201	3450.354921
202	3444.327622
203	3436.515175
204	3430.594877
205	3421.777824
206	3416.405807
207	3412.88009
208	3407.480621
209	3402.260814
210	3396.512272
211	3392.145676
212	3384.426933
213	3378.422392
214	3373.78132
215	3367.774374
216	3363.295638
217	3358.527329
218	3354.114917
219	3346.011951
220	3343.366643
221	3338.132036
222	3332.540273
223	3327.51471
224	3322.322422
225	3314.527307
226	3309.73041
227	3304.598168
228	3298.882329
229	3296.129667
230	3290.040096
231	3285.687822
232	3279.408291
233	3273.178932
234	3267.889548
235	3262.662748
236	3256.858989
237	3253.671613
238	3248.077998
239	3239.365281
240	3233.256006
241	3228.075959
242	3225.277828
243	3220.170743
244	3215.687379
245	3211.882857
246	3207.926379
247	3201.044084
248	3196.253234
249	3193.644907
250	3189.90818
251	3186.741324
252	3182.851357
253	3179.217357
254	3174.231888
255	3169.170714
256	3164.532251
257	3160.339486
258	3155.631079
259	3153.310741
260	3148.921896
261	3143.75805
262	3137.762504
263	3133.994063
264	3130.429644
265	3126.639643
266	3122.099186
267	3116.801692
268	3114.573999
269	3111.374268
270	3107.848209
271	3102.356213
272	3097.909787
273	3094.102841
274	3090.176576
275	3086.532531
276	3082.604796
277	3079.717876
278	3076.091942
279	3074.862868
280	3070.712906
281	3066.756854
282	3063.507992
283	3060.319871
284	3053.279246
285	3050.280188
286	3046.332224
287	3041.982839
288	3036.5749
289	3033.088089
290	3029.860469
291	3025.032644
292	3022.037328
293	3019.249896
294	3016.070422
295	3011.80689
296	3008.862907
297	3005.252112
298	3001.471996
299	2999.826329
300	2995.291021
301	2992.861458
302	2990.148138
303	2987.042333
304	2985.315549
305	2981.302116
306	2978.248436
307	2974.732466
308	2970.742968
309	2967.902308
310	2965.203251
311	2962.105323
312	2959.489035
313	2956.881553
314	2950.53544
315	2948.557943
316	2944.910857
317	2941.628546
318	2936.096106
319	2933.411539
320	2929.768615
321	2926.320182
322	2923.603918
323	2919.731745
324	2913.63992
325	2908.476564
326	2906.728498
327	2902.903513
328	2899.780527
329	2897.784624
330	2894.100381
331	2889.581536
332	2886.155851
333	2884.096188
334	2880.996005
335	2878.279132
336	2875.637176
337	2872.464706
338	2867.360024
339	2863.640983
340	2861.259071
341	2857.072202
342	2853.588713
343	2851.003878
344	2847.875278
345	2845.229851
346	2842.818262
347	2838.934979
348	2837.152519
349	2834.810715
350	2832.315777
351	2829.190307
352	2826.551179
353	2823.107732
354	2817.760181
355	2814.326828
356	2811.328941
357	2809.284811
358	2805.532734
359	2802.182659
360	2799.96873
361	2797.830682
362	2794.684816
363	2792.714995
364	2790.415943
365	2788.009217
366	2784.563014
367	2782.470121
368	2778.826039
369	2776.786425
370	2775.008454
371	2770.842682
372	2769.295155
373	2765.809038
374	2761.99223
375	2759.487509
376	2756.448712
377	2754.913106
378	2752.333619
379	2749.175686
380	2746.756361
381	2743.059639
382	2740.326445
383	2739.126112
384	2737.645168
385	2734.941463
386	2731.064732
387	2727.32587
388	2725.222791
389	2723.1246
390	2719.927411
391	2717.209732
392	2716.25235
393	2713.249106
394	2710.828951
395	2708.59118
396	2706.780288
397	2704.251829
398	2702.012279
399	2700.044183
400	2697.492468
401	2694.603992
402	2691.554517
403	2689.906266
404	2687.786282
405	2686.297372
406	2682.112512
407	2680.5072
408	2678.246691
409	2676.973317
410	2675.29625
411	2672.217301
412	2669.58049
413	2667.512996
414	2665.536317
415	2661.919962
416	2659.615868
417	2657.49739
418	2655.0635
419	2653.012049
420	2650.69357
421	2648.851262
422	2646.702014
423	2644.092261
424	2641.916725
425	2639.909377
426	2638.540478
427	2636.519679
428	2634.054626
429	2631.103208
430	2629.141078
431	2626.593052
432	2624.28738
433	2621.524468
434	2618.955928
435	2615.787189
436	2613.775415
437	2612.48418
438	2610.866098
439	2609.028548
440	2606.644121
441	2603.584121
442	2600.787248
443	2599.891738
444	2598.844364
445	2596.17649
446	2593.888503
447	2592.197256
448	2590.297831
449	2587.886573
450	2586.795214
451	2585.43277
452	2583.403319
453	2581.695416
454	2579.44133
455	2577.809072
456	2575.906455
457	2573.097228
458	2570.318542
459	2568.224593
460	2565.717478
461	2564.015651
462	2561.599343
463	2558.843048
464	2557.480262
465	2554.947379
466	2553.157036
467	2551.487648
468	2549.341006
469	2546.752548
470	2545.481627
471	2544.444688
472	2541.873668
473	2540.46901
474	2539.587265
475	2537.937885
476	2535.841808
477	2534.681967
478	2532.608672
479	2531.228352
480	2528.8778
481	2527.557681
482	2526.251433
483	2524.885089
484	2522.568054
485	2521.360557
486	2519.317662
487	2517.710314
488	2515.295706
489	2512.890597
490	2510.858021
491	2508.100346
492	2506.393375
493	2504.939904
494	2502.368572
495	2501.521388
496	2500.177088
497	2498.522136
498	2496.960156
499	2495.044944
500	2493.026892
501	2490.092201
502	2488.092262
503	2486.870823
504	2484.596266
505	2483.153642
506	2481.207633
507	2479.944099
508	2477.675979
509	2475.875803
510	2474.486108
511	2472.670703
512	2471.695957
513	2469.595678
514	2468.039989
515	2466.052576
516	2464.588712
517	2463.471328
518	2461.662756
519	2459.695102
520	2457.447529
521	2455.300078
522	2453.476544
523	2451.311986
524	2449.27432
525	2446.857858
526	2444.826469
527	2443.870188
528	2442.249933
529	2440.202286
530	2438.143695
531	2436.998721
532	2436.262926
533	2434.434561
534	2432.632891
535	2430.575085
536	2428.492088
537	2427.614539
538	2426.695175
539	2424.749887
540	2423.845131
541	2421.789436
542	2420.951429
543	2419.751822
544	2418.081663
545	2416.467203
546	2415.264141
547	2413.627473
548	2412.053124
549	2410.368946
550	2408.511329
551	2406.514306
552	2404.292081
553	2403.152441
554	2401.918046
555	2399.620853
556	2398.620965
557	2397.907932
558	2397.259345
559	2396.423296
560	2394.362869
561	2393.268468
562	2391.605049
563	2390.657358
564	2388.810402
565	2387.12862
566	2385.545403
567	2384.113595
568	2382.636115
569	2381.895806
570	2380.349258
571	2379.224685
572	2377.758743
573	2376.177795
574	2375.003603
575	2373.369556
576	2372.458017
577	2371.115203
578	2369.696537
579	2368.361709
580	2367.294594
581	2365.30608
582	2363.99408
583	2362.996118
584	2361.350838
585	2359.951677
586	2358.321438
587	2357.105753
588	2355.308153
589	2354.083442
590	2352.859096
591	2351.072943
592	2349.310696
593	2348.826689
594	2346.336994
595	2344.880969
596	2343.421178
597	2341.894587
598	2341.411662
599	2340.001714
600	2338.974001
601	2337.366689
602	2335.766139
603	2334.639243
604	2332.752014
605	2331.665757
606	2329.444148
607	2327.811797
608	2326.187764
609	2325.355141
610	2323.326137
611	2321.636758
612	2320.578164
613	2319.344352
614	2318.30783
615	2317.158263
616	2314.364663
617	2313.090318
618	2311.580859
