iter	Passed	Remaining
0	4	12809
1	7	11970
2	11	11909
3	16	12035
4	19	11720
5	23	11583
6	26	11474
7	30	11456
8	34	11325
9	37	11234
10	40	11134
11	44	11111
12	48	11144
13	52	11139
14	55	11132
15	59	11122
16	63	11158
17	66	11092
18	70	11055
19	73	11010
20	77	10996
21	81	11028
22	85	11014
23	88	10994
24	92	10998
25	96	11006
26	99	10965
27	103	10955
28	106	10928
29	110	10932
30	114	10956
31	117	10938
32	121	10914
33	125	10911
34	128	10893
35	132	10891
36	135	10881
37	139	10881
38	143	10879
39	146	10875
40	150	10864
41	154	10862
42	157	10839
43	161	10828
44	164	10794
45	168	10806
46	171	10768
47	174	10741
48	178	10721
49	181	10696
50	184	10668
51	187	10634
52	190	10617
53	195	10644
54	198	10622
55	201	10592
56	204	10577
57	208	10563
58	211	10546
59	215	10535
60	218	10518
61	221	10490
62	224	10470
63	228	10469
64	231	10471
65	235	10456
66	238	10429
67	241	10401
68	244	10383
69	247	10364
70	250	10342
71	253	10322
72	257	10310
73	260	10297
74	263	10275
75	266	10256
76	269	10237
77	272	10219
78	275	10201
79	278	10182
80	282	10162
81	285	10146
82	288	10129
83	291	10115
84	294	10099
85	297	10083
86	300	10064
87	303	10048
88	306	10031
89	309	10016
90	312	9999
91	315	9977
92	318	9955
93	321	9937
94	324	9923
95	327	9919
96	331	9912
97	334	9898
98	337	9885
99	340	9872
100	343	9868
101	346	9857
102	350	9844
103	353	9831
104	356	9816
105	359	9806
106	362	9791
107	365	9774
108	368	9761
109	371	9749
110	374	9737
111	377	9730
112	380	9715
113	383	9706
114	386	9696
115	389	9686
116	392	9683
117	396	9677
118	399	9667
119	402	9662
120	405	9654
121	408	9644
122	412	9637
123	415	9629
124	418	9625
125	421	9616
126	424	9608
127	427	9599
128	430	9591
129	433	9581
130	437	9572
131	440	9564
132	443	9561
133	446	9554
134	449	9546
135	452	9537
136	456	9531
137	459	9525
138	462	9513
139	465	9505
140	468	9496
141	471	9484
142	474	9478
143	477	9474
144	480	9465
145	483	9460
146	486	9448
147	489	9438
148	492	9430
149	495	9422
150	498	9412
151	501	9400
152	504	9390
153	507	9383
154	510	9374
155	513	9363
156	516	9353
157	519	9343
158	522	9333
159	525	9329
160	528	9319
161	531	9311
162	534	9302
163	537	9294
164	540	9287
165	543	9277
166	546	9270
167	549	9261
168	552	9252
169	555	9244
170	558	9239
171	561	9234
172	564	9227
173	567	9220
174	570	9211
175	573	9204
176	576	9195
177	579	9191
178	582	9186
179	585	9178
180	588	9170
181	591	9163
182	594	9156
183	597	9149
184	600	9144
185	603	9136
186	606	9130
187	609	9123
188	612	9115
189	615	9107
190	618	9102
191	622	9096
192	624	9089
193	627	9083
194	630	9075
195	633	9069
196	636	9060
197	639	9053
198	642	9044
199	645	9039
200	648	9032
201	651	9027
202	654	9020
203	657	9014
204	660	9007
205	663	9000
206	666	8993
207	669	8986
208	672	8981
209	675	8976
210	678	8970
211	681	8963
212	684	8957
213	687	8951
214	690	8945
215	693	8939
216	696	8932
217	699	8926
218	702	8920
219	705	8914
220	708	8913
221	711	8907
222	714	8902
223	717	8896
224	720	8890
225	723	8886
226	726	8880
227	729	8873
228	732	8868
229	735	8860
230	738	8856
231	742	8853
232	745	8847
233	748	8841
234	751	8837
235	754	8831
236	757	8828
237	760	8821
238	763	8815
239	766	8810
240	769	8806
241	772	8801
242	775	8796
243	778	8791
244	781	8784
245	784	8779
246	787	8774
247	790	8770
248	793	8765
249	796	8760
250	799	8754
251	802	8748
252	805	8743
253	808	8737
254	811	8732
255	814	8726
256	817	8721
257	820	8715
258	823	8712
259	826	8705
260	829	8700
261	832	8695
262	835	8691
263	838	8686
264	841	8680
265	843	8674
266	847	8670
267	850	8672
268	853	8666
269	856	8662
270	859	8656
271	862	8651
272	865	8647
273	868	8642
274	871	8637
275	874	8632
276	877	8625
277	880	8621
278	883	8618
279	886	8613
280	889	8607
281	892	8602
282	895	8596
283	898	8591
284	901	8585
285	904	8580
286	907	8575
287	910	8570
288	913	8566
289	916	8561
290	919	8556
291	922	8551
292	925	8546
293	928	8541
294	931	8537
295	933	8531
296	936	8526
297	939	8521
298	942	8516
299	945	8510
300	948	8505
301	951	8500
302	954	8495
303	957	8494
304	960	8488
305	963	8483
306	966	8479
307	969	8474
308	972	8469
309	975	8464
310	978	8460
311	981	8457
312	984	8452
313	987	8447
314	990	8443
315	993	8439
316	996	8435
317	999	8430
318	1002	8426
319	1006	8431
320	1009	8429
321	1013	8426
322	1016	8422
323	1019	8417
324	1022	8414
325	1025	8409
326	1028	8405
327	1031	8401
328	1034	8396
329	1037	8391
330	1040	8386
331	1042	8381
332	1045	8377
333	1048	8372
334	1051	8367
335	1055	8367
336	1058	8363
337	1061	8357
338	1064	8353
339	1067	8349
340	1070	8345
341	1073	8344
342	1077	8343
343	1080	8339
344	1083	8337
345	1086	8333
346	1089	8331
347	1092	8326
348	1095	8322
349	1098	8319
350	1101	8314
351	1104	8310
352	1107	8306
353	1110	8302
354	1113	8297
355	1116	8293
356	1119	8289
357	1122	8286
358	1125	8282
359	1128	8278
360	1131	8274
361	1134	8269
362	1137	8264
363	1140	8259
364	1143	8254
365	1146	8250
366	1149	8245
367	1152	8240
368	1155	8236
369	1158	8231
370	1160	8226
371	1163	8222
372	1166	8218
373	1169	8214
374	1172	8210
375	1175	8206
376	1179	8203
377	1182	8199
378	1185	8196
379	1188	8193
380	1192	8193
381	1195	8190
382	1198	8186
383	1201	8182
384	1204	8178
385	1207	8174
386	1210	8171
387	1213	8167
388	1216	8164
389	1219	8160
390	1222	8156
391	1225	8152
392	1228	8148
393	1231	8147
394	1235	8144
395	1238	8140
396	1241	8137
397	1244	8133
398	1247	8129
399	1250	8125
400	1253	8122
401	1256	8119
402	1259	8116
403	1262	8111
404	1265	8108
405	1268	8106
406	1271	8102
407	1274	8097
408	1277	8094
409	1280	8090
410	1283	8086
411	1286	8082
412	1289	8079
413	1292	8075
414	1295	8071
415	1298	8067
416	1301	8062
417	1304	8060
418	1307	8056
419	1310	8052
420	1314	8049
421	1316	8045
422	1320	8041
423	1323	8037
424	1325	8033
425	1328	8029
426	1331	8025
427	1334	8022
428	1338	8019
429	1341	8015
430	1344	8012
431	1347	8008
432	1350	8004
433	1353	8001
434	1356	7997
435	1359	7993
436	1362	7988
437	1365	7985
438	1368	7982
439	1371	7980
440	1374	7976
441	1377	7973
442	1380	7970
443	1383	7966
444	1386	7962
445	1389	7958
446	1392	7955
447	1395	7951
448	1398	7946
449	1401	7943
450	1404	7939
451	1407	7935
452	1410	7931
453	1413	7928
454	1416	7925
455	1420	7922
456	1423	7919
457	1426	7915
458	1429	7912
459	1432	7909
460	1435	7906
461	1438	7902
462	1441	7898
463	1444	7895
464	1447	7890
465	1450	7887
466	1454	7886
467	1457	7885
468	1460	7883
469	1463	7880
470	1466	7876
471	1470	7875
472	1473	7872
473	1476	7869
474	1479	7865
475	1482	7861
476	1485	7859
477	1489	7857
478	1492	7855
479	1495	7852
480	1498	7848
481	1501	7844
482	1505	7844
483	1508	7840
484	1511	7836
485	1514	7832
486	1517	7829
487	1520	7827
488	1524	7826
489	1527	7823
490	1530	7819
491	1533	7815
492	1536	7814
493	1539	7810
494	1542	7806
495	1545	7802
496	1548	7798
497	1551	7795
498	1554	7791
499	1557	7788
500	1560	7784
501	1563	7782
502	1567	7779
503	1570	7776
504	1573	7772
505	1576	7769
506	1579	7765
507	1582	7761
508	1585	7760
509	1588	7756
510	1591	7753
511	1594	7749
512	1597	7746
513	1601	7744
514	1604	7741
515	1607	7737
516	1610	7733
517	1613	7730
518	1616	7726
519	1619	7724
520	1622	7720
521	1625	7717
522	1628	7714
523	1631	7710
524	1634	7706
525	1637	7703
526	1640	7699
527	1643	7696
528	1646	7692
529	1649	7689
530	1653	7688
531	1656	7684
532	1659	7681
533	1662	7677
534	1666	7676
535	1669	7673
536	1672	7669
537	1675	7665
538	1678	7662
539	1681	7659
540	1684	7655
541	1687	7652
542	1690	7648
543	1693	7645
544	1696	7641
545	1699	7637
546	1702	7634
547	1705	7630
548	1708	7627
549	1711	7624
550	1714	7621
551	1718	7619
552	1721	7615
553	1724	7611
554	1726	7607
555	1729	7604
556	1732	7600
557	1736	7597
558	1738	7593
559	1741	7589
560	1744	7586
561	1748	7583
562	1751	7579
563	1754	7575
564	1757	7572
565	1760	7569
566	1763	7565
567	1766	7561
568	1769	7558
569	1772	7554
570	1775	7550
571	1777	7547
572	1780	7543
573	1784	7540
574	1787	7537
575	1790	7533
576	1793	7531
577	1796	7528
578	1799	7525
579	1802	7522
580	1805	7518
581	1816	7545
582	1819	7542
583	1822	7540
584	1825	7537
585	1828	7533
586	1831	7530
587	1834	7526
588	1838	7524
589	1841	7520
590	1844	7517
591	1847	7513
592	1850	7511
593	1853	7508
594	1856	7505
595	1859	7501
596	1862	7497
597	1865	7494
598	1868	7490
599	1871	7487
600	1875	7484
601	1877	7480
602	1881	7477
603	1884	7474
604	1887	7470
605	1890	7467
606	1893	7464
607	1896	7461
608	1899	7458
609	1902	7455
610	1905	7452
611	1908	7448
612	1911	7444
613	1914	7440
614	1917	7437
615	1920	7433
616	1923	7430
617	1926	7426
618	1929	7423
619	1933	7420
620	1936	7417
621	1939	7413
622	1942	7409
623	1945	7406
624	1947	7402
625	1950	7398
626	1953	7394
627	1956	7390
628	1959	7387
629	1962	7384
630	1966	7381
631	1969	7378
632	1972	7374
633	1975	7371
634	1978	7367
635	1981	7364
636	1984	7361
637	1987	7357
638	1990	7353
639	1993	7349
640	1996	7346
641	1999	7342
642	2002	7338
643	2005	7335
644	2008	7331
645	2011	7328
646	2013	7324
647	2016	7320
648	2019	7317
649	2022	7313
650	2025	7310
651	2028	7306
652	2032	7303
653	2034	7299
654	2037	7296
655	2040	7292
656	2043	7288
657	2046	7285
658	2050	7282
659	2052	7278
660	2055	7275
661	2059	7271
662	2062	7268
663	2065	7264
664	2068	7261
665	2071	7258
666	2074	7254
667	2077	7251
668	2080	7247
669	2083	7244
670	2086	7240
671	2089	7237
672	2092	7234
673	2095	7230
674	2098	7227
675	2101	7223
676	2104	7220
677	2107	7216
678	2110	7213
679	2113	7210
680	2116	7207
681	2119	7204
682	2122	7201
683	2125	7197
684	2128	7194
685	2131	7191
686	2134	7187
687	2137	7184
688	2140	7180
689	2143	7177
690	2146	7173
691	2149	7169
692	2152	7165
693	2155	7162
694	2158	7158
695	2161	7155
696	2164	7152
697	2167	7148
698	2171	7147
699	2174	7143
700	2177	7140
701	2180	7137
702	2183	7134
703	2186	7130
704	2189	7127
705	2192	7124
706	2195	7120
707	2198	7117
708	2201	7113
709	2204	7109
710	2207	7106
711	2210	7103
712	2213	7100
713	2216	7097
714	2219	7093
715	2222	7090
716	2225	7086
717	2228	7083
718	2231	7080
719	2234	7076
720	2237	7073
721	2240	7070
722	2243	7066
723	2246	7063
724	2250	7060
725	2252	7056
726	2255	7053
727	2259	7050
728	2262	7047
729	2265	7043
730	2268	7040
731	2271	7037
732	2274	7033
733	2277	7030
734	2280	7026
735	2283	7023
736	2286	7020
737	2289	7016
738	2292	7013
739	2295	7009
740	2298	7005
741	2301	7002
742	2304	6999
743	2307	6995
744	2310	6992
745	2313	6988
746	2316	6985
747	2318	6981
748	2321	6978
749	2324	6974
750	2328	6971
751	2331	6969
752	2334	6965
753	2337	6962
754	2340	6960
755	2343	6956
756	2346	6953
757	2349	6950
758	2352	6947
759	2355	6943
760	2358	6940
761	2361	6937
762	2364	6933
763	2367	6930
764	2370	6926
765	2373	6923
766	2377	6920
767	2380	6917
768	2383	6913
769	2386	6910
770	2388	6906
771	2391	6903
772	2394	6899
773	2398	6897
774	2401	6894
775	2404	6891
776	2407	6889
777	2411	6887
778	2414	6884
779	2418	6882
780	2421	6879
781	2424	6876
782	2428	6874
783	2431	6872
784	2435	6871
785	2438	6869
786	2441	6866
787	2445	6864
788	2448	6862
789	2452	6859
790	2456	6859
791	2459	6856
792	2462	6853
793	2466	6852
794	2469	6849
795	2473	6847
796	2476	6845
797	2480	6843
798	2483	6840
799	2486	6837
800	2489	6835
801	2493	6832
802	2496	6830
803	2499	6827
804	2503	6825
805	2506	6822
806	2509	6820
807	2513	6818
808	2516	6815
809	2519	6813
810	2523	6810
811	2526	6807
812	2530	6805
813	2533	6803
814	2536	6800
815	2540	6798
816	2543	6796
817	2547	6794
818	2550	6792
